datetime,portfolio_value,cash,return
2020-01-02 14:30:00+00:00,100000.0,100000.0,
2020-01-03 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-04 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-06 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-07 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-08 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-09 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-10 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-11 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-13 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-14 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-15 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-16 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-17 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-18 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-21 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-22 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-23 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-24 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-25 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-27 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-28 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-29 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-30 14:30:00+00:00,100000.0,100000.0,0.0
2020-01-31 14:30:00+00:00,100060.83752441406,49995.75866699219,0.000608375244140591
2020-02-01 14:30:00+00:00,100060.83752441406,49995.75866699219,0.0
2020-02-03 14:30:00+00:00,97466.55676269531,97466.55676269531,-0.025927034251394976
2020-02-04 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-05 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-06 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-07 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-08 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-10 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-11 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-12 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-13 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-14 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-15 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-18 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-19 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-20 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-21 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-22 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-24 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-25 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-26 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-27 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-28 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-02-29 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-02 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-03 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-04 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-05 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-06 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-07 14:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-09 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-10 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-11 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-12 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-13 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-14 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-16 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-17 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-18 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-19 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-20 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-21 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-23 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-24 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-25 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-26 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-27 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-28 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-30 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-03-31 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-01 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-02 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-03 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-04 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-06 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-07 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-08 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-09 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-10 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-13 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-14 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-15 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-16 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-17 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-18 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-20 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-21 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-22 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-23 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-24 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-25 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-27 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-28 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-29 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-04-30 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-05-01 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-05-02 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-05-04 13:30:00+00:00,97466.55676269531,97466.55676269531,0.0
2020-05-05 13:30:00+00:00,98459.01908874512,48741.40950012207,0.010182593486565583
2020-05-06 13:30:00+00:00,99368.91806030273,48741.40950012207,0.009241397893041015
2020-05-07 13:30:00+00:00,99833.97970581055,48741.40950012207,0.004680152049412412
2020-05-08 13:30:00+00:00,100241.75196838379,48741.40950012207,0.00408450373084257
2020-05-09 13:30:00+00:00,100241.75196838379,48741.40950012207,0.0
2020-05-11 13:30:00+00:00,100794.43052856445,48879.57950012207,0.005513456711680131
2020-05-12 13:30:00+00:00,102433.93223754883,48879.57950012207,0.01626579663565586
