time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 14:30:00+00:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 14:30:00+00:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 14:30:00+00:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 14:30:00+00:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 14:30:00+00:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 14:30:00+00:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 14:30:00+00:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 14:30:00+00:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 13:30:00+00:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 13:30:00+00:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,275.29998779296875,920.0,0.0
2020-03-12 13:30:00+00:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 13:30:00+00:00,MLTrader,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-12 13:30:00+00:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 13:30:00+00:00,MLTrader,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-12 13:30:00+00:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 13:30:00+00:00,MLTrader,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-18 13:30:00+00:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-18 13:30:00+00:00,MLTrader,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-03-23 12:30:00+00:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-23 12:30:00+00:00,MLTrader,SPY,buy,limit,fill,1,day,0.0,1,stock,220.239990234375,920.0,0.0
2020-04-13 13:30:00+00:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 13:30:00+00:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,277.1400146484375,428.0,0.0
2020-04-27 13:30:00+00:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 13:30:00+00:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 13:30:00+00:00,MLTrader,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 13:30:00+00:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 13:30:00+00:00,MLTrader,SPY,buy,market,fill,1,day,0.0,1,stock,285.1199951171875,428.0,0.0
2020-04-27 13:30:00+00:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,285.1199951171875,624.0,0.0
2020-06-15 13:30:00+00:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-15 13:30:00+00:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-15 13:30:00+00:00,MLTrader,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-15 13:30:00+00:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 13:30:00+00:00,MLTrader,SPY,sell,market,fill,1,day,0.0,1,stock,298.0199890136719,624.0,0.0
2020-06-15 13:30:00+00:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,298.0199890136719,94.0,0.0
2020-06-16 13:30:00+00:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 13:30:00+00:00,MLTrader,SPY,buy,stop,fill,1,day,0.0,1,stock,315.4800109863281,94.0,0.0
2020-06-22 13:30:00+00:00,MLTrader,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 13:30:00+00:00,MLTrader,SPY,sell,market,fill,1,gtc,0.0,1,stock,307.989990234375,390.0,0.0
2020-06-25 13:30:00+00:00,MLTrader,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 13:30:00+00:00,MLTrader,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 13:30:00+00:00,MLTrader,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 13:30:00+00:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 13:30:00+00:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,303.4700012207031,594.0,0.0
2020-06-25 13:30:00+00:00,MLTrader,SPY,buy,market,fill,1,day,0.0,1,stock,303.4700012207031,390.0,0.0
2020-08-05 13:30:00+00:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 13:30:00+00:00,MLTrader,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4700012207031,93.0,0.0
2020-09-14 13:30:00+00:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 13:30:00+00:00,MLTrader,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 13:30:00+00:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 13:30:00+00:00,MLTrader,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 13:30:00+00:00,MLTrader,SPY,sell,market,new,1,day,0.0,1,stock,,,
